display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Tony Black,Cultural Conversation,"A brilliant example, through Batman and a superhero lens, of the power of revolution as a national myth, and how it can come to define a society.","| Original Score: 5/5
                
                |","Feb 14, 2021"
Mike Massie,Gone With The Twins,"Even with a twisting mystery and numerous new characters, the lengthy and overly complex plotline overshadows many of the more fascinating elements.","| Original Score: 7/10
                
                |","Dec 1, 2020"
Richard Propes,TheIndependentCritic.com,It is the perfect film for what it needs to be.,"| Original Score: 3.5/4.0
                
                |","Sep 5, 2020"
Siddhant Adlakha,IGN Movies,"The Dark Knight Rises may not always ""click"" intellectually, but it delivers some of the most rousing emotional highs of Nolan's career.",|,"Sep 2, 2020"
Yasser Medina,Cinefilia,Here Christopher Nolan brilliantly closes the final chapter of one of the most amazing film trilogies of recent times. [Full review in Spanish],"| Original Score: 8/10
                
                |","Jun 25, 2020"
Sergio Benítez,Espinof,A GREAT FINAL for the trilogy. [Full Review in Spanish],|,"Apr 22, 2020"
Josh Wilding,ComicBookMovie.com,The Dark Knight Rises delivers a satisfying and emotional conclusion to a trilogy which will go down in history as one of the best ever. This is Christopher Nolan's crowning achievement and a perfect Batman film.,"| Original Score: 5/5
                
                |","Feb 15, 2020"
Jim Ross,TAKE ONE Magazine,"...RISES gives the finish Nolan's characters deserve, but to say it reaches the heights of [its predecessors] is predictably hard.",|,"Feb 13, 2020"
David Harris,Spectrum Culture,"This conceit feels somewhat stale this time around, but a fearsome turn by Hardy keeps the action taut and the film exciting.","| Original Score: 3.4/5
                
                |","Nov 11, 2019"
PJ Nabarro,Patrick Nabarro,A work that tries to honour and conclude the trilogy's politicking on its slippery themes of civic responsibility versus the value of self-preservation.,"| Original Score: 3/5
                
                |","Oct 31, 2019"
Danielle Solzman,Solzy at the Movies,The Dark Knight Rises caps off the trilogy with a high but bittersweet note.,"| Original Score: 5/5
                
                |","Sep 22, 2019"
Kate Rodger,Newshub (NZ),"So rousingly, so emotionally, and so incalculably gratifying.","| Original Score: 5/5
                
                |","Sep 7, 2019"
Mattie Lucas,"The Dispatch (Lexington, NC)","A sprawling, messy, thrillingly imperfect film that delivers on its promise to shock and awe the audience.","| Original Score: 3.5/4
                
                |","Jun 8, 2019"
Rachel Wagner,rachelsreviews.net,There's hope for Gotham and that makes me happy!,"| Original Score: B
                
                |","Apr 15, 2019"
Micheal Compton,Bowling Green Daily News,"Isn't quite the game changer of the previous film. But it is still a dark and exhilarating epic, grounded in reality with a precise vision and craftsmanship that make it more than just another comic book movie.",|,"Apr 11, 2019"
J. Hoberman,ARTINFO.com,"The Dark Knight Rises not only celebrates a caped Übermensch but is itself, as a commercial enterprise, something beyond good and evil.",|,"Feb 25, 2019"
Abbie Bernstein,Assignment X,"The ending is likely to have people talking, but there's no question that it's been set up properly.","| Original Score: A-
                
                |","Feb 1, 2019"
Lee Cassanell,CineVue,The Dark Knight Rises is the pinnacle of epic movie-making and its scale and grandeur are unprecedented in cinema history. Nolan's biggest achievement -- and the real star of his third Batman film -- is Gotham city itself.,"| Original Score: 5/5
                
                |","Jan 30, 2019"
Nathalia Aryani,San Diego Entertainer,Director Christopher Nolan has created a perfect trilogy.,|,"Jan 19, 2019"
Kelly Jane Torrance,Washington Examiner,"Hardy, in a miraculous performance, manages to communicate the intelligence behind the muscle using just his voice.","| Original Score: 3/4
                
                |","Dec 28, 2018"
Johnny Gayzmonic,Fanboys of the Universe,Nolan brings the Dark Knight trilogy to an ultimately satisfying and logical end.,"| Original Score: 7/10
                
                |","Nov 4, 2018"
Eileen Jones,The eXile,"Bad, stupid, lame, embarrassing, and seemingly interminable, full of main characters delivering long-winded speeches explaining their histories from childhood so we'll be sure to understand their motivations, which are murky and trite...",|,"Nov 2, 2018"
Zaki Hasan,Zaki's Corner,"The Dark Knight Rises is resonant, emotional, and sometimes beautiful, but it's also overlong, overstuffed, and oftentimes frustrating.","| Original Score: B-
                
                |","Nov 2, 2018"
Pat Padua,DCist,Was there even a blockbuster that reminded us more of our imperfection?,|,"Aug 30, 2018"
Andre Meadows,Black Nerd Comedy,"Intense, deep and dark.",|,"Mar 5, 2018"
Michael Sicinski,Cinema Scope,"TDKR is, like the Batman films that have preceded it, an ideological muddle, but none has been so completely devoid of intellectual clarity.",|,"Nov 27, 2017"
Anton Bitel,Projected Figures,"[The Joker] was to become cinema's poster boy for international terror, with Batman's extra-legal responses - vigilante violence, external rendition, torture and mass surveillance - darkly reflecting Bush's America caught in its own moral compromise.",|,"Nov 26, 2017"
Yasmin Shehab,Cairo360,"The Dark Knight Rises not only ends on a perfect note but it also, as a whole, rounds off the trilogy beautifully.","| Original Score: 4/5
                
                |","Nov 6, 2017"
Kristian M. Lin,Fort Worth Weekly,The depth of feeling he brings to The Dark Knight Rises raises the bar yet again.,|,"Nov 6, 2017"
Giovanni Fazio,Japan Times,"Maybe it's time to imagine some different fictions for a change, stories with a bit more humanity and a bit less carnage. And maybe the moon will fall out of the sky.",|,"Nov 6, 2017"
Sarah Marrs,Cinesnark,"... it's still better than many movies, especially blockbuster types, but...It's just not one I feel compelled to make people see, like I did with The Dark Knight.",|,"Oct 23, 2017"
Candice Frederick,Reel Talk Online,"The Dark Knight Rises is the taut and satisfying finale to a beastly franchise that not only proposed new interpretations of a beloved tale, but it also re-engineered what we imagine a superhero movie to be.","| Original Score: B+
                
                |","Sep 8, 2017"
Sr. Rose Pacatte,National Catholic Reporter,"The Dark Knight Rises is good enough though the storyline seems thin, a little better than a retread, and the special effects tinny.",|,"Aug 10, 2017"
Garth Franklin,Dark Horizons,Begins' grounded comic-inspired origin tale and Dark Knight's masterfully brazen crime saga are closed off with a convoluted but intriguing societal revolution epic.,|,"May 31, 2017"
Sonny Bunch,Washington Free Beacon,"The Dark Knight Rises may not reach the heights of its predecessor, but it is a worthy, epic conclusion to a trilogy that has raised the bar for an entire genre.","| Original Score: 3.5/4
                
                |","Jul 14, 2016"
Mark Jackson,Epoch Times,"'The Dark Knight Rises' tries to be very dark and serious. The problem is, that rubber-headed costume just looks sort of, well, comical, when things get too realistic.","| Original Score: 3/5
                
                |","Jun 30, 2016"
Jason Bailey,Flavorwire,"Nolan somehow never loses control - this is an accomplished and tremendously confident filmmaker, both in the execution of his thrilling chases and action beats, and in his manipulation of the complicated, multi-faceted narrative.",|,"Jun 21, 2016"
Kong Rithdee,Bangkok Post,"The Dark Knight Rises, awaited by the whole world as if it were the coming of a messiah, delivers on its promise as a mega-entertainment, but it's less dark, and with uncharacteristic inelegance along the way.",|,"May 10, 2016"
J. Olson,Cinemixtape,"Nothing here compares to the spastic, crackling electricity of the interrogation scene between Batman and the Joker in ""The Dark Knight.""","| Original Score: 3.5/5
                
                |","Apr 9, 2016"
Randall King,Winnipeg Free Press,"By the thrilling... Nolan satiates his taste for the big action set piece, but all is grounded in an intricately woven world of fierce loyalty and even more fierce enmity.","| Original Score: 4/5
                
                |","Aug 1, 2015"
Michael Smith,Tulsa World,"You should consider the overall brilliance of Nolan's series of ""Dark Knight"" films and wonder whether the next filmmaker willing to take on the caped crusader's story is batty.",|,"Aug 1, 2015"
Edward Johnson-Ott,NUVO Newsweekly,"Lacking a central figure as dazzling as Heath Ledger's Joker, The Dark Knight Rises is not as strong as its predecessor, but it's still a doozy. Um, a violent, grim, nightmarish doozy.","Full Review
                
                
                    | Original Score: 4/5
                
                |","Aug 1, 2015"
David Blaustein,ABC News Radio,"My issues with it are few and didn't detract from my love for this film, which I believe you're going to love, too.",|,"Aug 1, 2015"
Emma Simmonds,The Arts Desk,The Dark Knight Rises succeeds because it's rooted in real-world experiences and fears.,"| Original Score: 5/5
                
                |","Aug 1, 2015"
Katherine McLaughlin,Starburst,Intense action and emotion make for gripping viewing and along with a dash of playfulness that occasionally lifts the dark mood it feels like the comic book hero has been rightly adapted for our times.,"Full Review
                
                
                    | Original Score: 10/10
                
                |","Aug 1, 2015"
Scott Renshaw,Salt Lake City Weekly,It's a film with so much it wants to say that the words sometimes collide.,"| Original Score: 3/4
                
                |","Aug 1, 2015"
Ryan Gilbey,New Statesman,"Nolan has become hooked on the grandiose, at times even the biblical. For anyone who admired the witty playfulness of his early films, it's a dark night indeed.","Full Review
                
                
                |","Aug 1, 2015"
Mini Anthikad-Chhibber,The Hindu,"The stunts are pretty cool, the ladies hot (Anne Hathaway is lovely-slinky), but the film has just too much mindless chatter which goes on forever till you want to say enough already.",|,"Aug 1, 2015"
Jenny McCartney,Daily Telegraph (UK),I respected The Dark Knight Rises; I didn't quite love it.,"| Original Score: 3/5
                
                |","Aug 1, 2015"
Devesh Sharma,Filmfare,"The original creator Bob Kane, who was given the task of creating a real world superhero to counter Superman, would have been immensely proud of this film. Because this is as real as it gets... and then some.",|,"Aug 1, 2015"
John Serba,MLive.com,Although often absorbing and on par with the quality of spectacle we expect from the franchise Rises proves that its predecessor is a film nearly impossible to follow.,"| Original Score: 3/4
                
                |","Jul 28, 2015"
Margaret Pomeranz,At the Movies (Australia),"Maybe not quite up to the standard of the first two in the series, but deserving of a very honourable mention.","Full Review
                
                
                    | Original Score: 4/5
                
                |","Jul 28, 2015"
Rashid Irani,Hindustan Times,The Bat-brigade as well as Christopher Nolan zealots will doubtless go batty over The Dark Knight Rises.,"| Original Score: 3.5/5
                
                |","Jul 28, 2015"
Allen O'Brien,The Times of India,You end up wanting more.,"| Original Score: 4/5
                
                |","Jul 28, 2015"
Kim Newman,Sight & Sound,"As befits the saga's engagement with the economics of Gotham City, a great deal of topical material floats about here, insufficiently digested.",|,"Jun 22, 2015"
Samuel Roberts,SciFiNow,"The Dark Knight Rises is an intense and brutal viewing experience, easily the most emotionally exhausting of the three films.","| Original Score: 5/5
                
                |","Jun 22, 2015"
Sean Burns,Philadelphia Weekly,A sprawling mess that basically reboots itself and starts all over again roughly halfway through its ludicrous 164-minute running time.,"Full Review
                
                
                |","May 3, 2015"
Christopher Lawrence,Las Vegas Review-Journal,"Cold, bleak and brutal, it's easily the moviegoing spectacle of the year.","| Original Score: A-
                
                |","Oct 17, 2014"
Jonathan Kiefer,Sacramento News & Review,"The pleasure, however preposterous, is in Nolan's dedication -- creating, maintaining, and to an extent defending a universe in which people still take this stuff very seriously.","| Original Score: 3/5
                
                |","Oct 17, 2014"
Clayton Davis,AwardsCircuit.com,"If there were ever doubts about Christopher Nolan and his ability as a filmmaker, he puts all things to rest and declares himself one of the most innovative and visionary directors working today.","Full Review
                
                
                    | Original Score: 3.5/4
                
                |","Sep 14, 2014"
Brian D. Johnson,Maclean's Magazine,"There's no contest. The Dark Knight Rises, which opens next week, is the most hotly anticipated movie of the summer. And yes, it lives up to the hype.",|,"Jun 11, 2014"
Glenn Dunks,Trespass,"I was surprised at just how much of a great, thrilling time I had. It's a film that genuinely earns its stripes as a grand, epic work of cinema.",|,"Sep 8, 2013"
David Edelstein,New York Magazine/Vulture,"[This] wrap-up wraps up few of the threads in the first two films, and that the climactic cliff-hangers are nothing special (as well as flabbily edited).",|,"Aug 3, 2013"
Dann Gire,Chicago Daily Herald,"No villain could come close to matching Ledger's inspired Joker, but give Hardy credit for supplying Bane with plenty of conviction and gravitas in a movie that, frankly, is less about actors than knockout set pieces captured in eyeball-popping spectacles.","| Original Score: 3/4
                
                |","Aug 3, 2013"
Eric D. Snider,EricDSnider.com,"Caps off the trilogy with passion and dignity, if not always with slam-bang entertainment. Whoever directs the reboot in five years will have a lot to live up to.","| Original Score: B
                
                |","Jul 16, 2013"
Will Leitch,Deadspin,"The movie's two hours and 44 minutes long but never drags, and it has at least five separate action set pieces that will drop your jaw, particularly if you see it in IMAX.","| Original Score: B+
                
                |","Jun 23, 2013"
Scott Foundas,Film Comment Magazine,The Dark Knight Rises captures the spirit -- and cultural anxieties -- of the times.,|,"Jun 20, 2013"
Al Alexander,The Patriot Ledger,The final installment in Christopher Nolan's pitch-black trilogy manages to be both relevant and topical while slavishly adhering to the stodgy tropes of the genre.,"Full Review
                
                
                    | Original Score: B
                
                |","May 26, 2013"
Carla Meyer,Sacramento Bee,"Gloom never looked as good as it does in the mesmerizing ""The Dark Knight Rises.""","Full Review
                
                
                    | Original Score: 3.5/4
                
                |","May 17, 2013"
Rick Bentley,Fresno Bee,"Even with its flaws, The Dark Knight Rises is a solid film. It just fails to live up to the magnificent legacy created by the first two movies in the trilogy. To be fair, they were incredibly hard acts to follow.","| Original Score: B
                
                |","Apr 12, 2013"
Katherine Monk,Canada.com,Every facet of this impressive piece reaffirms the same thematic gristle as it forces the viewer to chew on the notion of personal responsibility.,"| Original Score: 4.5/5
                
                |","Apr 12, 2013"
Kirk Baird,Toledo Blade,"The Dark Knight Rises is all about risks, and there are payoffs and failures to go with it.","| Original Score: 4/4
                
                |","Apr 12, 2013"
Chris Knight,National Post,"This is a solid film, taking itself seriously and asking that we do the same.","Full Review
                
                
                    | Original Score: 3/4
                
                |","Apr 12, 2013"
Joe Gross,Austin American-Statesman,"It's not un-entertaining. Exhausting, a bit, but not un-entertaining.","| Original Score: 3.5/5
                
                |","Apr 12, 2013"
Tom Glasson,Concrete Playground,"An ambitious, honourable and satisfying conclusion to this genre-defining trilogy.","| Original Score: 3.5/5
                
                |","Mar 4, 2013"
Jordan Hiller,Bangitout.com,"The Dark Knight Rises directly counters the arguments made against The Dark Knight. Maybe, sometimes, it is better to leave the demons unvanquished.","| Original Score: 3/4
                
                |","Dec 31, 2012"
Rob Gonsalves,Rob's Movie Vault,"Technically, ""The Dark Knight Rises"" is a thick leatherbound volume with gilded pages, though flipping through it yields a story about a big bad bald man doing eeevil things until a vigilante with pointy ears comes to the rescue.","| Original Score: B
                
                |","Dec 17, 2012"
Brian Gibson,"Vue Weekly (Edmonton, Alberta)",Weighed down by portentousness and momentousness. The overall story remains a bit muddled. A better trilogy-capper than a movie in its own right.,|,"Nov 22, 2012"
John J. Puccio,Movie Metropolis,"There's plenty of action, intrigue, special effects, and high-tech gadgets to maintain our attention at least in spurts.","| Original Score: 7/10
                
                |","Nov 20, 2012"
Rob Humanick,Projection Booth,"There's enough that works in The Dark Knight Rises that I can overlook most of the more glaring flaws, but it remains to date the most disappointing film I've seen from 2012.","Full Review
                
                
                    | Original Score: 3/4
                
                |","Nov 5, 2012"
Robert Denerstein,Movie Habit,Nolan keeps things dark and dangerous,|,"Oct 20, 2012"
Ali Gray,TheShiznit.co.uk,"Doubtless flawed and arguably overlong, it's nonetheless a personal and heartfelt ode from the director to the greatest comic-book character ever committed to paper -- and now film.","| Original Score: 5/5
                
                |","Oct 19, 2012"
Kofi Outlaw,Screen Rant,"Nolan's finale isn't perfect, and may not be the greatest installment of the trilogy, but it solidifies this three-part tale of the Batman legend as one of the best ever told.","| Original Score: 4/5
                
                |","Oct 2, 2012"
Adam Ross,The Aristocrat,"... if Gotham falls, so does Bruce Wayne. Rarely, in film, have we understood and sympathised with a hero's mission as much as Bruce's.","| Original Score: 5/5
                
                |","Sep 27, 2012"
Patrick Kolan,Shotgun Cinema,The Dark Knight Rises succeeds in surpassing 2008's 'The Dark Knight' to become the best of his three films. Whether that will be enough to secure his Best Picture Oscar is frankly irrelevant - because what matters is that this is Batman's best picture.,"| Original Score: 4.5/5
                
                |","Sep 26, 2012"
Stephen Rebello,Playboy Online,"The bold, visionary film jolts us with its sense of scope, scale and social outrage that sometimes suggests novels by Charles Dickens and Victor Hugo.",|,"Sep 24, 2012"
Will Chadwick,We Got This Covered,"The Dark Knight Rises is the film event of the summer. A completely satisfying piece of filmmaking that delivers so much more, making for an excellent sign off for one of cinema's finest trilogies.","| Original Score: 9.5/10
                
                |","Sep 14, 2012"
Jeff Beck,Examiner.com,"[It] may be the weakest film in the trilogy, but it is still a satisfactory and exciting conclusion to what has been the greatest treatment of any superhero in film history.","| Original Score: 3/4
                
                |","Sep 12, 2012"
Fernando F. Croce,CinePassion,"Every shred of wit, mystery and humanity is pummeled out, leaving only a bullish mishmash of zeitgeisty anxiety",|,"Sep 4, 2012"
Cole Smithey,ColeSmithey.com,"Disconnected significantly from the flow of logic between the first and second installments of Christopher Nolan's ""Batman"" films, ""The Dark Knight Rises"" is a disjointed mess.","| Original Score: C-
                
                |","Aug 30, 2012"
Sean P. Means,Salt Lake Tribune,"Nolan again transforms Bob Kane's classic DC Comics creation into a superhero for our times, flawed but fighting against supervillains and also the decay and corruption that created them.","| Original Score: 3.5/4
                
                |","Aug 25, 2012"
Erick Weber,NECN,"Manages to mitigate its slew of shortcomings with a cinematically-administered, turbo-charged dose of adrenaline in the form of its sublimely symphonic finale.","| Original Score: A-
                
                |","Aug 24, 2012"
John Beifuss,"Commercial Appeal (Memphis, TN)","Contains images destined to become classics of what we might call pretentious popular culture. For example: Batman and Bane, slugging it out on the steps of a neoclassical downtown building, in the midst of a sunlit snowstorm...","| Original Score: 3.5/4
                
                |","Aug 24, 2012"
Rich Cline,Shadows on the Wall,"When the credits roll at the end of this overlong action epic, it feels like we've just turned the final page of an immersive novel","| Original Score: 4.5/5
                
                |","Aug 24, 2012"
Jeffrey M. Anderson,San Francisco Examiner,"It addresses the darkness in everyday life, acknowledges the pain, and fights back.","| Original Score: 3.5/4
                
                |","Aug 22, 2012"
William Bibbiani,CraveOnline,A powerful film. A great film. A messy film nonetheless.,"Full Review
                
                
                    | Original Score: 9/10
                
                |","Aug 21, 2012"
Jon Lyus,HeyUGuys,"The narrative sleight-of-hand aside as a finale it satisfies, even for those of us who weren't enamoured with the previous instalments.","| Original Score: 3/5
                
                |","Aug 14, 2012"
Chris Barsanti,PopMatters,"...Nolan's final Batman film shows the inhabitants of Gotham wrestling with issues of the real world, namely: money, class, and power.","| Original Score: 8/10
                
                |","Aug 10, 2012"
Grae Drake,Movies.com,"The last act of the film delivers in a shocking way. What comes before it is imperfect, but since we're talking about Nolan here, it's still worth seeing, discussing, and then seeing again.","| Original Score: 4/5
                
                |","Aug 7, 2012"
John Lekich,Georgia Straight,"Despite all the quality lavished on-screen, there's something missing. It's not just that the pace feels sluggish or the action sequences seem all too familiar. It's that the film feels hollow at the core.",|,"Aug 5, 2012"
James Kendrick,Q Network Film Desk,"a canny Obama-era blockbuster, feeding equally into rightwing fears of the unwashed mashes and leftwing anger at the dominance of the much loathed one-percent","| Original Score: 3.5/4
                
                |","Aug 3, 2012"
Kelly Vance,East Bay Express,A reasonably entertaining late-summer entry in the never-ending parade of youth-market fantasy sequels.,"Full Review
                
                
                |","Aug 2, 2012"
Felix Vasquez Jr.,Cinema Crazed,Christopher Nolan ends a near perfect trilogy of dark and intelligent Batman films with a near perfect third leg in a marvelous re-imagining of the Dark Knight...,|,"Jul 31, 2012"
Anthony Lane,New Yorker,"The story is dense, overlong, and studded with references that will make sense only to those intimate with Nolan's previous excursions into Batmanhood.",|,"Jul 30, 2012"
Ethan Alter,Television Without Pity,Perhaps the best way to summarize the movie is to borrow the final line from one of the comics that inspired it: The Dark Knight Rises is a good film. Good enough.,"Full Review
                
                
                |","Jul 29, 2012"
Kevin A. Ranson,MovieCrypt.com,"... Nolan thinks small in a big way... providing an imperfect yet satisfying conclusion, and that in itself is quite an accomplishment.","| Original Score: 3.5/4.0
                
                |","Jul 29, 2012"
David Nusair,Reel Film Reviews,Christopher Nolan's Batman saga comes to an end with this engrossing and absolutely spellbinding installment...,"| Original Score: 4/4
                
                |","Jul 29, 2012"
Nathaniel Rogers,The Film Experience,The weakest of Nolan's three Batmans with offputting politics and a dull villain but its fascinatingly vertical construction and Catwoman save it.,"| Original Score: B-
                
                |","Jul 28, 2012"
Charles Koplinski,Illinois Times,Rises a Satisfying Conclusion to Nolan's Trilogy.,"| Original Score: 3.5/4.0
                
                |","Jul 28, 2012"
Clint O'Connor,Cleveland Plain Dealer,"It gets away from the great Christopher Nolan for a time during the film's soft middle, but he brings the conclusion to his Batman trilogy home with a bang.","| Original Score: A-
                
                |","Jul 27, 2012"
Fr. Chris Carpenter,Movie Dearest,"All in all, the gifted (writer-director Christopher) Nolan's latest epic is typically well-constructed (despite a plot hole here and there) and beautiful to look at.","| Original Score: B
                
                |","Jul 27, 2012"
Vincent Mancini,FilmDrunk,"Enjoying TDKR requires messiah-like trust in Nolan that he'll eventually reward us, as long as we don't get too hung up on all the plot holes and leftover genre tropes.","| Original Score: B
                
                |","Jul 27, 2012"
Robert Roten,Laramie Movie Scope,"A bit of a letdown, containing nothing close to the brilliance of the late Heath Ledger's performance in the previous film, but it doesn't glorify nihilism, chaos and anarchy like the previous film did because it's villains aren't charismatic.","| Original Score: B
                
                |","Jul 27, 2012"
Neil Pond,American Profile,"The summer's most grandiose, grown-up, operatic superhero movie, one that makes others look, in comparison, like kids playing around in action-figure pajamas.","| Original Score: 3.5/5
                
                |","Jul 27, 2012"
Wesley Lovell,Cinema Sight,A fantastic conclusion even if a bit bloated.,"| Original Score: 3.5/4
                
                |","Jul 27, 2012"
Pablo Villaça,Cinema em Cena,"Demonstra que um longa baseado em super-heróis pode ser adulto, investir no realismo e representar um passatempo escapista sem, com isso, desrespeitar a inteligência de seu público.","| Original Score: 4/5
                
                |","Jul 27, 2012"
Christian Toto,Big Hollywood,"Nolan's final Batman film delivers grand excitement, grounded performances and the kind of conservative themes rarely embraced in blockbuster films.","| Original Score: 3.5/4
                
                |","Jul 26, 2012"
Bruce Bennett,"Spectrum (St. George, Utah)","Complex and comprehensive, beautiful if bloated, is nonetheless superlative filmmaking and even though over 160 minutes manages to rivet the senses in every frame.","| Original Score: B+
                
                |","Jul 26, 2012"
Bob Grimm,Tucson Weekly,"The Bane voice drove me crazy, but I still liked it.","| Original Score: 3.75/5
                
                |","Jul 25, 2012"
Rick Marshall,IFC.com,"In his last adventure under Christopher Nolan's guidance, the Dark Knight never quite rises to the occasion.","Full Review
                
                
                |","Jul 25, 2012"
Ken Hanke,"Mountain Xpress (Asheville, NC)","If Nolan has accomplished nothing else here, he has made one of the more human movies of this type.","| Original Score: 4/5
                
                |","Jul 25, 2012"
Richard Knight,Knight at the Movies,"A joyless, bitter epic without a hint of exhilaration.",|,"Jul 24, 2012"
Jackie K. Cooper,jackiekcooper.com,"Ties up all the loose ends and gives a proper sendoff to Nolan's ""Batman"" trilogy.","| Original Score: 8/10
                
                |","Jul 24, 2012"
Jeff Bayer,The Scorecard Review,The belief that one man can become a symbol for something greater will continue to drive people to this trilogy for years to come.,"| Original Score: 8/10
                
                |","Jul 24, 2012"
Steve Crum,Crum on Showbiz,"Once Batman finally gets back to action, with the audience's dander by that time primed to the max, the film explodes in scene after dazzling scene of air to street attacks and counter attacks.","| Original Score: B+
                
                |","Jul 24, 2012"
Tony Medley,Tolucan Times,"...Hans Zimmer's ever-present music and fine perfomances by Hathaway, Caine, and Cotillard keep the tension high throughout its almost 3 hour runtime.","| Original Score: 8/10
                
                |","Jul 23, 2012"
Jules Brenner,Cinema Signals,"Nolan and Bale have indicated that they'll be having no further visitations in the batcave, but that doesn't mean the franchise is over. There's a clue in this movie that suggests the next sequel. Read about it here.","| Original Score: 4/5
                
                |","Jul 23, 2012"
Tim Martain,The Mercury (Australia),The intimate symbiosis between the loosely defined concepts of good and evil is a vital element in Batman lore and something that Christopher Nolan understands very well.,"| Original Score: 4.5/5
                
                |","Jul 23, 2012"
David Sexton,London Evening Standard,"Nolan has turned a preposterous character back into a grave myth, the story of a tortured saviour, reluctantly giving his all.","| Original Score: 3/5
                
                |","Jul 23, 2012"
Nick Setchfield,SFX Magazine,"Faced with the Curse of the Threes - the ancient jinx that sabotages quality control in the final chapter of any big screen superhero trilogy, Christopher Nolan arms himself with the power of myth.","| Original Score: 4.5/5
                
                |","Jul 23, 2012"
Ed Gibbs,The Sun-Herald (Australia),"Despite some curiously scathing comment on the Occupy movement, Nolan's third and last Batman is an exhilarating, epic finale, with a series-best performance from Bale.","| Original Score: 9/10
                
                |","Jul 22, 2012"
Diana Saenger,ReviewExpress.com,Never-ending Tension,"| Original Score: 3.5/5
                
                |","Jul 22, 2012"
Mark R. Leeper,Mark Leeper's Reviews,"The film has more action, more special effects, and more mystical philosophy than THE DARK KNIGHT, but less intelligence.","| Original Score: 7/10
                
                |","Jul 22, 2012"
Loey Lockerby,Kansas City Star,"While ""The Dark Knight Rises"" is much better than most third entries, it's still flabby and convoluted.","| Original Score: 2.5/4
                
                |","Jul 22, 2012"
Philip French,Observer (UK),"The Dark Knight Rises has an intelligence, epic thrust and visual grandeur...",|,"Jul 22, 2012"
Lisa Giles-Keddie,Real.com,"As uneven as the plot is at times, Nolan commendably retains the Batman's beating black heart in TDKR, with lead characters ever challenging our perceptions ... to keep things fresh.","| Original Score: 4/5
                
                |","Jul 22, 2012"
Ed Whitfield,The Ooh Tray,Nolan's dour realism has turned the Batman experience into something like a sexless Eyes Wide Shut party.,|,"Jul 22, 2012"
Ian Buckwalter,The Washingtonian,"The degree of difficulty involved in balancing on that many knives' edges overlooking potential disaster is high, yet by the time the credits roll, there it is: Nolan sticks the landing.","| Original Score: 8.8/10
                
                |","Jul 21, 2012"
Matt Brunson,Creative Loafing,"Anne Hathaway provides The Dark Knight Rises with most of its levity; the rest of the time, this brooding, bruising movie is content building its reputation as a black beauty.","| Original Score: 3.5/4
                
                |","Jul 21, 2012"
Mark Ramsey,MovieJuice!,"Fueled by a diet of oxygen garnished with hydrogen, Anne Hathaway slices through bad guys like paper through rock and scissors. 'Wilst thou grant me one Tic Tac, O grumbling gut!'","| Original Score: A
                
                |","Jul 21, 2012"
