display-name,publication,review-text,original-score-and-url,original-score-and-url 2
David Denby,New Yorker,A mess.,"Full Review
                
                
                |","Mar 26, 2012"
Roger Moore,Tribune News Service,"A bloated sci-fi epic from Disney that's made watchable by swell effects, passable performances and those little dashes of humor that reassure us that the filmmakers know this is all a lark.","| Original Score: 2/4
                
                |","Mar 23, 2012"
Robert Denerstein,Movie Habit,"John Carter aims at Mars, but misses",|,"Mar 22, 2012"
Fr. Chris Carpenter,Movie Dearest,"Over-produced, overlong and too violent for young children, but it isn't lacking in marvelous special effects, occasional magic and general entertainment value.","| Original Score: B
                
                |","Mar 21, 2012"
Luke Buckmaster,The Daily Review/Crikey,"Director Andrew Stanton (Finding Nemo, Wall.E) could easily have found himself feeding the belly of a turkey too fat to support its own legs - slow, clunky, stupid - but manages to keep a spectacular beast of a movie fast-footed.",|,"Mar 20, 2012"
Ken Hanke,"Mountain Xpress (Asheville, NC)",Manages to overcome an inflated running time and occasional bouts of cuteness by remembering and embracing its pulp fiction roots as an 'interplanetary romance.',"| Original Score: 4/5
                
                |","Mar 19, 2012"
Donald Clarke,Irish Times,The finished entity feels like a rip-off of a film that ripped-off several rip-offs of Carter's own ancient source material.,"| Original Score: 2/5
                
                |","Mar 19, 2012"
David Nusair,Reel Film Reviews,...the movie's disappointingly flat atmosphere [is] perpetuated by Kitsch's competent yet bland work...,"| Original Score: 2/4
                
                |","Mar 18, 2012"
Sara Michelle Fetters,MovieFreak.com,"A century in the making, Disney's John Carter is a superlative cinematic fantasy that's without question the single most entertaining thing I've had the pleasure to see in 2012 so far.","| Original Score: 3.5/4
                
                |","Mar 17, 2012"
Leonard Maltin,indieWire,"As one of Pixar's star players, Stanton is an experienced cinematic storyteller, which is why it's disappointing that his first live-action project is so unwieldy at times.","| Original Score: 2.1/2
                
                |","Mar 16, 2012"
Clint O'Connor,Cleveland Plain Dealer,"Therns, Tharks and Thoats, oh my! If Taylor Kitsch had brought even an ounce of charm, charisma or humor . . .","| Original Score: C+
                
                |","Mar 16, 2012"
James Kendrick,Q Network Film Desk,"an awesome folly, a misguided project of genuinely enormous proportions that feels like exactly what it is: an impersonal product of franchise-hungry corporate culture","| Original Score: 1.5/4
                
                |","Mar 16, 2012"
Neil Pond,American Profile,"Romance, action, humor, and even some philosophical gristle: Is war a cosmic constant? Is anything worth fighting for?","| Original Score: 2.5/5
                
                |","Mar 14, 2012"
Tim Brayton,Antagony & Ecstasy,[Provides] dumbfounding sci-fi vistas in admirable quantity if not quite in creativity.,"| Original Score: 5/10
                
                |","Mar 13, 2012"
Jules Brenner,Cinema Signals,"With this production budget, you'd think someone in the creative chain might have detected that there was too much dramatic dithering in the screenplay, but entertainment factors survive.","| Original Score: 3/5
                
                |","Mar 13, 2012"
Ed Whitfield,The Ooh Tray,Fails to transcend the generic.,|,"Mar 13, 2012"
Brian Orndorf,BrianOrndorf.com,"While possibly impenetrable to the casual viewer, the picture succeeds as grand entertainment, with dazzling technical achievements and wonderfully exaggerated performances of galactic heroism.","| Original Score: B+
                
                |","Mar 12, 2012"
Robert Roten,Laramie Movie Scope,One of the things I liked about this movie is that it has nice little touches of humor. The visual effects (I saw this in 3D) are quite convincing. The acting is effective.,"| Original Score: B
                
                |","Mar 12, 2012"
Jackie K. Cooper,jackiekcooper.com,"Ignore the naysayers, this is a very enjoyable action adventure","| Original Score: 7/10
                
                |","Mar 12, 2012"
Burl Burlingame,Honolulu Star-Advertiser,"Great fun as we endure scrape after scrape in this wild, near-hallucinatory landscape, and director Stanton finds the right balance of cheerful solemnity and cheeky humor.","| Original Score: 3.5/4
                
                |","Mar 12, 2012"
Kelly Vance,East Bay Express,The effect is strangely pleasing.,|,"Mar 12, 2012"
Mark R. Leeper,Mark Leeper's Reviews,It is fascinating to spend time with this visualization of Burroughs's Mars/Barsoom.,"| Original Score: 7/10
                
                |","Mar 12, 2012"
Anton Bitel,MovieScope,a narrative that skips as deftly through time and space as its protagonist leaps over the Martian desert.,|,"Mar 12, 2012"
Jason Best,Movie Talk,Director Andrew Stanton injects the hokum with a lively sense of fun and leads Kitsch and Collins pull off their far-fetched roles with gusto.,|,"Mar 12, 2012"
Mark Ramsey,MovieJuice!,John Carter will be hanging from those man-teets alongside animators for Treasure Planet in the new Disney World attraction: Hall of Disappointments.,"| Original Score: F
                
                |","Mar 12, 2012"
Tom Clift,Moviedex,"With a narrative as flat and barren as the red martian landscape, John Carter is a big-budget sci-fi spectacle that fails to excite or entertain.","| Original Score: 2/5
                
                |","Mar 12, 2012"
Jim Lane,Sacramento News & Review,... great fun ...,"| Original Score: 4/5
                
                |","Mar 12, 2012"
Dan Lybarger,Movie Marker Magazine,It's too bad that Burroughs' ideas don't seem quite as fresh now that others have outraced Carter to the big screen.,"| Original Score: 70/100
                
                |","Mar 11, 2012"
Michelle Alexandria,Eclipse Magazine,"It was nice watching an adaptation that stands on its own two feet. This movie hugged me with all four arms. It is not as great, or epic as it wants to be, but it is thoroughly enjoyable.","| Original Score: A-
                
                |","Mar 11, 2012"
Eric D. Snider,EricDSnider.com,"Busily adventurous, packed with exotic creatures and boys-in-the-sandbox playfulness, and altogether kind of fake.","| Original Score: C+
                
                |","Mar 11, 2012"
Scott Nash,Three Movie Buffs,A film version of John Carter has been in the works since 1931. That means Hollywood has had 81 years to get a decent script together and this is the best they could do?,"| Original Score: 2/4
                
                |","Mar 11, 2012"
Philip French,Observer (UK),The movie is poorly staged and mind-numbingly tedious.,|,"Mar 11, 2012"
Diva Velez,TheDivaReview.com,"Based on a 1912 Edgar Rice Burroughs novel, John Carter is an overlong, muddled mess of a film that should've waited another hundred years for a good script.","| Original Score: 2/5
                
                |","Mar 10, 2012"
Matt Brunson,Creative Loafing,"There are some fantastic sights in John Carter, but there's also a lot of overkill, with Stanton and crew often cluttering up the visuals with the deranged frenzy of George Lucas retooling his Star Wars sagas.","| Original Score: 2.5/4
                
                |","Mar 10, 2012"
Widgett Walls,Needcoffee.com,"I felt like there was this awesome party going on that I just didn't have an invitation to. It seems that if you'd read the books, this would have been awesome.","| Original Score: 2.5/5
                
                |","Mar 10, 2012"
Adam Fendelman,HollywoodChicago.com,"There's no surer-fire way for a film to ink its own $250-million obituary than by contrasting itself to two of Hollywood's most titanic films when it only has half the heart, soul and story of either one.","| Original Score: 2.0/5.0
                
                |","Mar 10, 2012"
Lisa Giles-Keddie,Real.com,There is no real sense of connection between human and alien - like between the Na'vi and Jake Sully - that would have pulled John Carter out of the grandiose B-movie league.,"| Original Score: 3/5
                
                |","Mar 10, 2012"
Pablo Villaça,Cinema em Cena,Chega a surpreender que uma narrativa tão absurda em essência também possa ser tão lenta e frequentemente entediante.,"| Original Score: 3/5
                
                |","Mar 9, 2012"
Tim Martain,The Mercury (Australia),"John Carter is a product of a simpler time, when sense of adventure was paramount, and the film has this in spades.","| Original Score: 4/5
                
                |","Mar 9, 2012"
Pete Vonder Haar,Houston Press,"A thoroughly entertaining adaptation of Burroughs's second most famous literary creation, with enough adventure and humor to satisfy all but those who are wholly dead inside.","| Original Score: 3.5/5
                
                |","Mar 9, 2012"
Kevin Carr,Fat Guys at the Movies,"The entire story behind John Carter is the essence of high concept, especially in the day and age it was originally created... a blast of a film.","| Original Score: 3.5/5
                
                |","Mar 9, 2012"
Mike McGranaghan,Aisle Seat,"It isn't that John Carter is bad, it's just really mediocre. And mediocrity is deadly in this genre.","| Original Score: 2/4
                
                |","Mar 9, 2012"
Jason Di Rosso,"MovieTime, ABC Radio National","At times the spectacle is captivating, but it's always just a bit too silly.",|,"Mar 9, 2012"
David Stratton,At the Movies (Australia),"Director Andrew Stanton, making his first live-action feature after the successful Pixar animated films FINDING NEMO and WALL-E, hasn't been able to bring anything very new to the familiar story of battles among rival forces on another planet:","Full Review
                
                
                    | Original Score: 2.5/5
                
                |","Mar 9, 2012"
Sandra Hall,Sydney Morning Herald,"Stanton should go back to making machines talk. He puts much more humanity into them than he manages to extract from Burroughs, even with all that nostalgia working for him.","| Original Score: 2/5
                
                |","Mar 9, 2012"
Leigh Paatsch,Herald Sun (Australia),John Carter's hard-to-follow story and terrible dialogue leaves it on par with that cheesy Flash Gordon remake from the 1980s.,"| Original Score: 2/5
                
                |","Mar 9, 2012"
Adam Bub,MovieFIX,"Wall-E and Finding Nemo director Andrew Stanton must shoulder the blame for this over-bloated disaster. It's impossible to care about the protagonists, played by the helplessly wooden Kitsch and Collins.","| Original Score: .5/5
                
                |","Mar 9, 2012"
Erin Free,FILMINK (Australia),"Despite occasional moments of silliness, the old-fashioned sense of adventure and brilliantly rendered aliens elevate this above other derivative big-budget sci-fi fare.",|,"Mar 9, 2012"
Kate Muir,Times (UK),"There's a delightfully unfashionable cheesiness about John Carter, a film for all the family, but in particular sci-fi fantasy geeks and older gentlemen who have never been able to relinquish the spiffing derring-do of Burroughs.","| Original Score: 3/5
                
                |","Mar 9, 2012"
Joshua Tyler,Giant Freakin Robot,"Go for the spectacle, go for the fun, just don't expect anything as significant as the impact made by Burroughs' books.","| Original Score: 3.5/5
                
                |","Mar 9, 2012"
Walter Chaw,Film Freak Central,all that's missing is a senate debate and a pod race.,"| Original Score: 1/4
                
                |","Mar 9, 2012"
Mathew DeKinder,Suburban Journals of St. Louis,"This is an old-fashioned movie told with cutting-edge technology and while it is easy to be cynical about such a lightweight plotline, it is refreshing to see a movie that approaches its subject with an authentic, wide-eyed sense of wonder.","| Original Score: 4/5
                
                |","Mar 9, 2012"
Christopher Orr,The Atlantic,"The most indelible performance in the film is not, strictly speaking, a performance at all. Rather it is Woola, a six-legged Martian hound who rather resembles a cross between a bulldog and a fetal gila monster.",|,"Mar 9, 2012"
Luke Y. Thompson,E! Online,There's material here to sustain a solid franchise if the demand is there.,"Full Review
                
                
                    | Original Score: A-
                
                |","Mar 9, 2012"
Alison Gang,San Diego Union-Tribune,"Disney and director Andrew Stanton may have dusted off the creaky franchise and wrapped it in $300 million worth of 3-D digital effects, but the final product still feels like ancient history.","| Original Score: 1.5/4
                
                |","Mar 9, 2012"
Sara Maria Vizcarrondo,Boxoffice Magazine,It's got the schmaltz and grandeur of the 80s Clash of the Titans but little of the warm wonder that made that spectacle such an addiction.,"Full Review
                
                
                    | Original Score: 2.5/5
                
                |","Mar 9, 2012"
Peter Rainer,Christian Science Monitor,"The reported $250 million price tag for John Carter gives one pause. I suppose one could argue that masterpieces have no price. Then again, John Carter is no masterpiece.","| Original Score: C+
                
                |","Mar 9, 2012"
Lawrence Toppman,Charlotte Observer,"This hodgepodge falls together neatly, because we know the film will go exactly where we want it to go, right down to the intervention by a faithful, comic animal sidekick (a Pixar specialty).","Full Review
                
                
                    | Original Score: 3/4
                
                |","Mar 9, 2012"
Sandie Angulo Chen,Common Sense Media,Mars-based action epic has strong fantasy violence.,"| Original Score: 3/5
                
                |","Mar 9, 2012"
Tyler Hanley,Palo Alto Weekly,"Fortunately for viewers, the film is directed by Pixar sensation Andrew Stanton (Finding Nemo, WALL-E), and the visual effects are, literally, out of this world.","| Original Score: 3/4
                
                |","Mar 9, 2012"
John Wirt,"Advocate (Baton Rouge, LA)","Directed and co-written by Andrew Stanton of ""Finding Nemo,"" ""Toy Story"" and ""Monsters, Inc."" fame, the fun but sometimes confusing ""John Carter"" may launch the next big sci-fi-adventure franchise.","| Original Score: 3/4
                
                |","Mar 9, 2012"
Jeff Meyers,"Metro Times (Detroit, MI)","...an impressively designed world that lacks the danger, wonder and sexiness needed to become a classic. Frankly, the movie seems too epic for Stanton's talents.","| Original Score: B-
                
                |","Mar 9, 2012"
Laremy Legel,Film.com,"Where John Carter continually gets it right is pacing, levity, and breadth of story.","| Original Score: B
                
                |","Mar 9, 2012"
James Verniere,Boston Herald,"'John Carter' is the best-looking 3-D sci-fi adventure since 'Avatar.' At a reported $250 million plus, it certainly cost enough.","| Original Score: B
                
                |","Mar 9, 2012"
Luke Y. Thompson,Nerdist,"John Carter is a science-fiction epic worth cheering, one where however much they spent, it all went to throw amazingly huge and awesome things onscreen in the service of a story that some are actually calling too complicated.",|,"Mar 9, 2012"
Rob Vaux,Mania.com,John Carter is an absolute romp.,"| Original Score: B+
                
                |","Mar 9, 2012"
Eric Melin,Scene-Stealers.com,"Since its story inspired every mainstream fantasy right up to Avatar, John Carter may seem a little old-fashioned, but it's a solid piece of fantasy entertainment that's equal parts corny and poignant.","| Original Score: 3/4
                
                |","Mar 9, 2012"
John Beifuss,"Commercial Appeal (Memphis, TN)","Comical Woola, a faithful dog-like creature that travels at Road Runner superspeed, steals every scene. He's the 'John Carter' equivalent of Uggie, and the movie, sad to say, needs him.","| Original Score: 2.5/4
                
                |","Mar 9, 2012"
Sean P. Means,Salt Lake Tribune,"John Carter, a rousing science-fiction adventure adapted from Edgar Rice Burroughs' early 20th-century pulp novels, is a rare bird that's at the same time strikingly modern and engagingly old-fashioned.","| Original Score: 3.5/4
                
                |","Mar 9, 2012"
Todd Jorgenson,Cinemalogue,"The filmmaker is up to the challenge, staging some taut action sequences and seamlessly weaving together live action with animated elements and tons of visual effects.",|,"Mar 9, 2012"
Daniel Eagan,Film Journal International,"Big-budget adaptation of a pulp favorite delivers epic scale and effects, but skimps on entertainment.",|,"Mar 9, 2012"
Jeffrey M. Anderson,San Francisco Examiner,"""John Carter"" enthusiastically remains a pulp story at heart.","| Original Score: 3/4
                
                |","Mar 9, 2012"
Robert Levin,Film School Rejects,"Visionary and philosophical, with the sort of complex allusions to death, immortality and the destruction of civilizations that you don't expect from a $250 million film.","| Original Score: 3/4
                
                |","Mar 9, 2012"
Bob Bloom,"Journal and Courier (Lafayette, IN)","""John Carter's"" biggest miscalculation is the casting of Taylor Kitsch as Carter. He is too soft and wooden. He lacks the gravitas needed to be an inspirational leader, no matter how high or far he can jump in Barsoom's lesser gravity.","| Original Score: 1.5/4
                
                |","Mar 9, 2012"
Leonard Maltin,leonardmaltin.com,"While we can still marvel at the amazing sights laid out before us, it is imperative that we never lose sight of who's who and what's at stake. That turns out to be a tall order.","| Original Score: 2.1/2
                
                |","Mar 9, 2012"
Gary Wolcott,Tri-City Herald,"Saturday afternoon matinee fun. Think Conan the Barbarian clashing with the gods of Clash of the Titans who are conquering Mars, Gladiator style.","| Original Score: 4/5
                
                |","Mar 9, 2012"
Ethan Alter,Television Without Pity,While John Carter never completely solves its numerous problems...it does provide several sequences of rousing sci-fi spectacle.,"Full Review
                
                
                |","Mar 9, 2012"
Kimberly Gadette,Doddle,Director Stanton has yet to find his rhythm in this new-to-him discipline. Though the 3D Mars-scape and fantastical creatures offer fun viewing ... he can't quite conquer the human beast.,"| Original Score: 5/10
                
                |","Mar 9, 2012"
Radheyan Simonpillai,NOW Toronto,"John Carter is arriving late to the party, after George Lucas had already pillaged the source material and squeezed it for every dollar it was worth. Stanton has created a sci-fi adventure that feels both old hat and sub-par.","| Original Score: 58/100
                
                |","Mar 9, 2012"
Matthew Razak,Flixist.com,"I just had fun at John Carter. Stupid, old school, science fiction fun. It's the kind of science fiction that doesn't get bogged down in the science part and fully embraces the fiction.","| Original Score: 75/100
                
                |","Mar 9, 2012"
Michael A. Smith,MediaMikes,This is truly a story I'd rather go to the library and read then watch again.,"| Original Score: 2.5/5
                
                |","Mar 9, 2012"
Jim Judy,Screen It!,We waited a century for John Carter to appear on the silver screen. A few extra months probably would have done this film good in terms of tightening the narrative & creating a more entertaining experience.(Full Content Review for Parents also available),|,"Mar 9, 2012"
Mike Scott,Times-Picayune,For all of the love and money lavished upon John Carter it ends up feeling a touch musty and overly familiar.,"| Original Score: 3/5
                
                |","Mar 9, 2012"
Jonathan W. Hickman,Daily Film Fix,"Confusing and, at times, positively frustrating, John Carter is a film that screams too much post-production tinkering. During the screening, I actually turned to Film Fix co-host Jeff Marker and asked him if we had missed a reel.","| Original Score: 5/10
                
                |","Mar 9, 2012"
Willie Waffle,WaffleMovies.com,"If John Carter was a date, you would be running off to the bathroom to call a friend, so the friend would call you ten minutes later with an ""emergency"", so you could get away.","| Original Score: .5/4
                
                |","Mar 9, 2012"
Susan Granger,SSG Syndicate,"Surprisingly humorless, unevenly jumbled fantasy - Blame it on solar flares!","| Original Score: 5/10
                
                |","Mar 9, 2012"
Rick Groen,Globe and Mail,"It isn't bad so much as innocuous, $250-million worth of innocuous, framed by a decent start and a solid finish but sagging through the long middle like a cheap mattress.","| Original Score: 2/4
                
                |","Mar 9, 2012"
Jim Slotek,Jam! Movies,"Please fight somebody, John! At least it'll stop them from talking.","Full Review
                
                
                    | Original Score: 2.5/5
                
                |","Mar 9, 2012"
Rafer Guzman,Newsday,"Though messy and overlong, it's an enjoyable throwback to the movie spectacles of a more innocent age.","| Original Score: 2.5/4
                
                |","Mar 9, 2012"
Tom Long,Detroit News,"""John Carter"" is a huge bore.","| Original Score: D+
                
                |","Mar 9, 2012"
Ann Hornaday,Washington Post,"Gets off to such an incoherent start that it takes almost the entire, interminable two-hour-plus running time to catch up.","| Original Score: 1/4
                
                |","Mar 9, 2012"
David Medsker,Bullz-Eye.com,"It's easy to be fascinated with how John Carter looks, but it's difficult to get emotionally involved.","| Original Score: 2.5/5
                
                |","Mar 8, 2012"
Eugene Novikov,Film Blather,There are more than a few moments that hint at the fantasy classic this might have been. See it in 2D.,"| Original Score: B-
                
                |","Mar 8, 2012"
Jeffrey Overstreet,Looking Closer,"Playing the princess, whose name is Dejah Thoris, Lynn Collins is a revelation. I'm not just talking about those costumes (Dejah-view!) which she was clearly born to wear.","| Original Score: B-
                
                |","Mar 8, 2012"
Rebecca Murray,About.com,The effects aren't up to blockbuster standards and the story goes nowhere slowly,"Full Review
                
                
                    | Original Score: D+
                
                |","Mar 8, 2012"
Mark Dujsik,Mark Reviews Movies,"Like any template, it has the skeleton but is missing the meat.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
James Berardinelli,ReelViews,"Suffers from a convoluted plot and an anticlimactic resolution, but hits enough high notes along the way to be enjoyable.","| Original Score: 3/4
                
                |","Mar 8, 2012"
Claudia Puig,USA Today,The villains are overwrought and the design of Mars is surprisingly bland.,"| Original Score: 2/4
                
                |","Mar 8, 2012"
Nell Minow,Beliefnet,"It takes a while to get going and is about half an hour too long, but ""John Carter"" has some spectacular visuals and well-staged action scenes.","| Original Score: B
                
                |","Mar 8, 2012"
Dustin Putman,TheFilmFile.com,"""Thank God that's over with!"" one character utters near the end of ""John Carter."" No spoken words have ever been truer.","| Original Score: 1/4
                
                |","Mar 8, 2012"
Alex Zane,The Sun (UK),"Kitsch...makes for an excellent hero, even managing to make a loincloth look like this year's must-have item.","| Original Score: 3/5
                
                |","Mar 8, 2012"
Mark Adams,Daily Mirror (UK),Incredibly well made and heroically performed. It also really delivers when it comes to creating a strange alien world.,"| Original Score: 3/5
                
                |","Mar 8, 2012"
Christopher Tookey,Daily Mail (UK),"Stanton's screenwriting skills are, on this evidence, slightly below those of George Lucas, so there's plenty of clunky exposition and such inadvertent laugh-lines as: 'I would lay down my life for Helium.'","| Original Score: 0/5
                
                |","Mar 8, 2012"
Daniel M. Kimmel,Sci-Fi Movie Page,"The visuals are stunning, the battles are exciting and the supporting cast is strong. Why, then, did Disney stupidly do everything they could to ensure that it would fail?","| Original Score: 3/4
                
                |","Mar 8, 2012"
Dana Stevens,Slate,"This middle section, in which both Carter and the audience get a crash course in the politics, history, and theology of the Red Planet, is the movie at its most imaginative and most fun.",|,"Mar 8, 2012"
Mick LaSalle,San Francisco Chronicle,"There's nothing to see, nothing to think about, nothing to care about, and nothing to feel, just emptiness. The emptiness is never filled over the course of 132 long, barren minutes.","| Original Score: 1/4
                
                |","Mar 8, 2012"
Peter Sobczynski,eFilmCritic.com,Amazing how little a century of anticipation and $250 million buys out these days,"| Original Score: 1/5
                
                |","Mar 8, 2012"
Josh Bell,Las Vegas Weekly,"There's a lot of hokey fun in old pulp stories like Burroughs', but John Carter fails to capture any of that charm.","| Original Score: 2/5
                
                |","Mar 8, 2012"
Cameron Williams,The Popcorn Junkie,Like watching a storm; yes there are flashes of lightning but most of the time you're just staring at boring grey clouds. After enduring the 132 minutes of John Carter tug-of-war it's not a complete win for team terrible but pretty damn close.,"| Original Score: 2/5
                
                |","Mar 8, 2012"
A.O. Scott,New York Times,Messy and chaotic ... but also colorful and kind of fun.,"Full Review
                
                
                    | Original Score: 3/5
                
                |","Mar 8, 2012"
Joe Morgenstern,Wall Street Journal,A deadly heaviness brings Disney's would-be epic down.,|,"Mar 8, 2012"
Kurt Loder,Reason Online,It's like sinking into a 3D bog of unending-and surprisingly dull-confusion.,|,"Mar 8, 2012"
