display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Joshua Starnes,ComingSoon.net,"If nothing else, Pirates of the Caribbean: At World's End's ambition and moral ambiguity still set it apart from the pack, but as a send off to the trilogy it staggers across the finish line more than winning out right.","| Original Score: 7/10
                
                |","Apr 25, 2011"
Fernando F. Croce,CinePassion,Another piddling blockbuster with delusions of 'darkness',|,"Aug 27, 2009"
Peter Keough,Boston Phoenix,"[Verbinski] borrows from a half-dozen mythologies to construct a fitting punishment for the culture of narcissism, compulsive consumption, and greed that makes movies like this one necessary.","| Original Score: 3/4
                
                |","Apr 23, 2009"
Tony Macklin,Fayetteville Free Weekly,"Pirates of the Caribbean: At World's End is a hearty, bumpy sea marathon. For some, it will be a fun ride; for others, it will be an ordeal. I'm somewhere in between.","| Original Score: 2.5/5
                
                |","Feb 2, 2009"
Steve Biodrowski,Cinefantastique,"Ho-hum, ho-hum - it's the same old bilge again!",|,"Jul 7, 2008"
Ian Winterton,Film4,"A few laughs, some fantastic CGI and a great cameo from Keith Richards aside, this is turgid and tiresome.","| Original Score: 2/5
                
                |","Mar 5, 2008"
Jeff Bayer,The Scorecard Review,"Both sequels to the original film are confusing and long. But the third does improve on the second, because at least something happens.","| Original Score: 6/10
                
                |","Mar 3, 2008"
Brandon Fibbs,BrandonFibbs.com,"At World's End's greatest sin, just like the second film, is that it forgets to be fun.","| Original Score: 5/10
                
                |","Feb 28, 2008"
Bruce Bennett,"Spectrum (St. George, Utah)","It's unlikely many fans will have the patience to sit through this soulless, yet visually enticing voyage to nowhere more than once.","| Original Score: C
                
                |","Jan 2, 2008"
Ryan Cracknell,Movie Views,"Although visually impressive, At World's End is a bitter disappointment considering how fresh and exciting the crew was just a few years ago.",|,"Dec 9, 2007"
Prairie Miller,NewsBlaze,"Not for the logically minded or the seasick prone, the film, like its two predecessors, is a dizzing concoction of multiple simultaneous stories taking place either in the real world or anybody's unhinged imagination, take your pick.",|,"Nov 30, 2007"
Janos Gereben,Entertainment Insiders,For a long time -- although definitely not all the way to the interminable finale of this whale of a nautical exercise -- you're likely to enjoy what you'll see,"| Original Score: 2.5/4
                
                |","Nov 8, 2007"
Sandie Angulo Chen,Common Sense Media,"Swashbuckling action, but too many puzzling plots.","| Original Score: 3/5
                
                |","Oct 31, 2007"
Tim Brayton,Antagony & Ecstasy,"When it hits, it is absolutely the best of the three films, but when it misses, it is endlessly tedious.","| Original Score: 6/10
                
                |","Sep 14, 2007"
Russell Baillie,New Zealand Herald,"Abandon ship. And abandon all hope of a good time, all ye who enter here.","| Original Score: 2/5
                
                |","Sep 1, 2007"
Kyle Smith,KyleSmithOnline.com,"Yo ho ho and a bottle of regulations!...has the soul of a three-hour U.N. committee meeting. Gods' bodkins, me hearties, this movie blows like a whale from the vasty deep.","| Original Score: 1.5/4
                
                |","Jul 31, 2007"
Randy Shulman,"Metro Weekly (Washington, DC)","POTC: At World's End strives for epic-ness, but it's not an epic. It's fluff. And fluff should never, ever exceed more than 1 hour and 47 minutes, including end credits.","| Original Score: 2/5
                
                |","Jul 26, 2007"
Joe Lozito,Big Picture Big Sound,The best in the series.,"| Original Score: 3/4
                
                |","Jul 14, 2007"
Armond White,New York Press,"Jerry Bruckheimer hasn't produced a movie this undignified since Pearl Harbor -- that cornucopia of corn and bombast, where he ransacked history and sullied patriotism.","Full Review
                
                
                |","Jul 11, 2007"
Martin Scribbs,Low IQ Canadian,"The wild, unstoppable commercial success of the Pirates franchise has freed Verbinski to spend a lot of time on flights of fancy and mythological asides.","Full Review
                
                
                |","Jul 10, 2007"
Rob Humanick,Stranger Song,"It is not a great film, but it captures an innocence rarely seen in theaters, let alone in mega-hyped summer blockbusters.",|,"Jul 3, 2007"
David Keyes,Cinemaphile.org,"""At World's End"" is a sweepingly ambitious movie that, alas, takes too long making its point, and far less effort in doing something meaty with the opportunities given to it.","| Original Score: 2.5/4
                
                |","Jul 1, 2007"
Steve Rose,Guardian,"Buoyed by luck, comedy and state-of-the-art special effects, it has not only survived the journey intact, it's also washed down its decks, ready for a whole new cycle of movies to begin.","| Original Score: 3/5
                
                |","Jun 30, 2007"
Michael Sragow,Baltimore Sun,This series has become so bloated and laborious that the plot -- and its subplots and countersubplots -- puncture any enjoyment you may have in this movie's daft slapstick and bold visual coups.,"Full Review
                
                
                    | Original Score: D+
                
                |","Jun 30, 2007"
James Kendrick,Q Network Film Desk,"while it maintains some vestiges of daring, I fear that the filmmakers may have bought too deeply into their own delusions of grandeur","| Original Score: 2.5/4
                
                |","Jun 30, 2007"
Marc Savlov,Austin Chronicle,"It's a knockabout, scattershot affair.","| Original Score: 2/5
                
                |","Jun 30, 2007"
Matthew Turner,ViewLondon,"Overlong, over-plotted and frequently dull threequel that only really gets into gear in the last forty minutes thanks to an impressively action-packed climax.","| Original Score: 3/5
                
                |","Jun 30, 2007"
Bill Clark,Bullz-Eye.com,"While the first two films skirted by on charm and sheer energy, At World's End clunks through three hours of excessive characterization and exposition -- and none of it makes any sense.","| Original Score: 2/5
                
                |","Jun 30, 2007"
Kamal  'The Diva' Larsuel,3BlackChicks Review,There were only two scenes that were swashbuckling excitement. The rest was an exercise in overcoming boredom.,|,"Jun 30, 2007"
Kevin Maher,Times (UK),"The unfunny doppelgängers only remind us, unfortunately, of how formulaic and mechanical this once inspired turn has become.","| Original Score: 2/5
                
                |","Jun 30, 2007"
Jamie Russell,BBC.com,World's End is duller than a Disneyland ride during a power cut.,"| Original Score: 2/5
                
                |","Jun 30, 2007"
Julian Roman,MovieWeb,"This might be a stretch considering its two hour and forty-eight minute runtime, but you'll definitely get your money's worth.","| Original Score: 3.5/5
                
                |","Jun 30, 2007"
Scott A. Mantz,Scott Mantz' Movie Reviews,"Dead men tell no tales -- but if they did, they would probably make more sense than the Pirates of the Caribbean sequels.","| Original Score: 2/5
                
                |","Jun 30, 2007"
Jean Lowerison,San Diego Metropolitan,I lasted 75 minutes. I think I deserve a medal.,|,"Jun 30, 2007"
Mel Valentin,Movie-Vault.com,,"| Original Score: 7/10
                
                |","Jun 30, 2007"
Mike Watt,Film Threat,It was a whole lot of fun!,"| Original Score: 4.5/5
                
                |","Jun 30, 2007"
Sean O'Connell,Charlotte Weekly,A lazy rehash spun together to satisfy booty-hungry studio heads ... it's as explosive as a firearm loaded with wet gunpowder,"Full Review
                
                
                    | Original Score: 2/4
                
                |","Jun 29, 2007"
Mark Sells,Oregon Herald,"Bland, bloated, and at times, bewildering, this third serving is merely yo-ho-hum.","| Original Score: 3/5
                
                |","Jun 25, 2007"
John Beifuss,"Commercial Appeal (Memphis, TN)","Here, death has little sadness and no permanence; it's as if the characters, being part of a mostly CGI world, are destined to exist forever in digital limbo, like deleted e-mails.","Full Review
                
                
                    | Original Score: 2.5/4
                
                |","Jun 19, 2007"
David Nusair,Reel Film Reviews,...it hardly seems likely that anybody will have the stones to sit through this mess more than once.,"| Original Score: 1.5/4
                
                |","Jun 17, 2007"
Karina Montgomery,rec.arts.movies.reviews,I missed the jokes and carefree spirit of the crew of the Black Pearl. I missed the simple pleasures of the walking id that is Jack bumping into the consequences of his nature. I missed the funny.,"| Original Score: 3/5
                
                |","Jun 12, 2007"
Eric Lurio,Times Square,"By managing to turn a Disney theme park ride into a major movie franchise, director Gore Verbinski and his collaborators, Ted Elliott and Terry Rossio, have done an unintentional remake of Gilliam's ""The Adventures of Baron Munchausen."" Gilliam did it bet","| Original Score: 2.9/5
                
                |","Jun 8, 2007"
Robert Roten,Laramie Movie Scope,"It seemed as long as the Bush Administration, although admittedly not that much of a disaster.","| Original Score: C
                
                |","Jun 7, 2007"
Stephen Himes,Flak Magazine,"As Captain Sparrow himself observes: ""The immaterial has become.....immaterial.""","| Original Score: 2/10
                
                |","Jun 7, 2007"
Jim Judy,Screen It!,You will not be engaged on any level other than a purely visual one.,"| Original Score: 4.5/10
                
                |","Jun 6, 2007"
Beth Accomando,KPBS.org,"Personally, I'd rather go on the Disneyland ride than to have to suffer through the two sequels ever again. Although the ride has now been changed to include multiple Jack Sparrows, so there's simply no escaping the film.","Full Review
                
                
                |","Jun 5, 2007"
Matt Brunson,Creative Loafing,"It's a fine summertime distraction, but woe to the viewer who elects to revisit it somewhere down the line.","| Original Score: 3/4
                
                |","Jun 4, 2007"
Mark Palermo,"The Coast (Halifax, Nova Scotia)","It features good story and visual concepts in its first 75 minutes, before opting for the usual bloated indulgence.","Full Review
                
                
                |","Jun 4, 2007"
Jim Lane,Sacramento News & Review,The story is either incoherent or nonexistent (take your pick)...,"| Original Score: 1/5
                
                |","Jun 4, 2007"
Mike Sage,Peterborough This Week,"Needless to say, it all looks and sounds absolutely fabulous, and the return of Geoffrey Rush is simply AAHRResting","| Original Score: 4/5
                
                |","Jun 4, 2007"
Wesley Lovell,Cinema Sight,"Better than the trilogy's second chapter, but not by a lot. Pirates 3 runs overlong and plays more to its weaknesses at times than it does its strengths.","| Original Score: 2.5/4
                
                |","Jun 4, 2007"
Bill Gibron,PopMatters,"Like the popcorn movies of old, (Pirates of the Caribbean: At World's End) is an experience as much as it is a film, a chance for audiences to get lost in elements they rarely experience in life.","Full Review
                
                
                    | Original Score: 4/5
                
                |","Jun 3, 2007"
Forrest Hartman,Reno Gazette-Journal,It's yo-ho-ho and a bottle of dumb!,"| Original Score: 1/4
                
                |","Jun 1, 2007"
Robin Clifford,Reeling Reviews,...a piece of high tech fluff that will draw its fans in droves.,"| Original Score: B-
                
                |","Jun 1, 2007"
Ted Murphy,Murphy's Movie Reviews,"I enjoyed this ride the least of the three, but I did have fun.","| Original Score: C+
                
                |","May 31, 2007"
Lori Hoffman,Atlantic City Weekly,"I'll bet most 'Pirates' fans will defend this final chapter, yet realize it has reached the end of its usefulness.","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 31, 2007"
Cynthia Fuchs,PopMatters,"At the end of the world, Jack Sparrow (Johnny Depp) is cast away on a ship on a desert. He's talking to himself, or rather, lots of himselves.","Full Review
                
                
                |","May 30, 2007"
Anthony Lane,New Yorker,"Advice to Johnny Depp fans: enjoy a seafood dinner, skip the beginning, and roll up after half an hour. You won't have missed a thing.",|,"May 30, 2007"
Bob Strauss,Los Angeles Daily News,It's really not all that hard to follow the complicated story's basic outline; but it just becomes wearying.,"Full Review
                
                
                |","May 30, 2007"
Ken Hanke,"Mountain Xpress (Asheville, NC)","While this third installment is both the biggest and most effects-laden of the three, it feels less like corporate filmmaking than Dead Man's Chest did.","| Original Score: 4/5
                
                |","May 30, 2007"
John P. McCarthy,ReelTalk Movie Reviews,Confusing double-crosses and half-hearted stabs at comic rigmarole leave the viewer of 'At World's End' in the doldrums.,|,"May 29, 2007"
Gary Brown,Houston Community Newspapers,Trying to follow this mess left me at wit's end with At World's End.,"| Original Score: 2/4
                
                |","May 29, 2007"
Eugene Novikov,Film Blather,"Once the creaky plot finally gets the characters where they need to be, the stage is set for the film's splendid last hour, which at last manages to approach Black Pearl's magic.","| Original Score: B-
                
                |","May 28, 2007"
Gina Carbone,Seacoast Newspapers (NH/Maine),Elizabeth Swann is officially one of the best female characters in Hollywood history.,"| Original Score: 3/4
                
                |","May 28, 2007"
Tom Charity,CNN.com,"The entire franchise seems on the verge of collapse, propelled to construct ever more grandiose flights of fancy. Without those sequences, there would be nothing there -- but a movie cannot exist on rollick alone.",|,"May 27, 2007"
Frederic and Mary Ann Brussat,Spirituality & Practice,"A bloated, repetitive sea saga that is the cinematic equivalent of pigging out at a fast food franchise.","Full Review
                
                
                    | Original Score: .5/10
                
                |","May 27, 2007"
Laura Clifford,Reeling Reviews,The third installment gets a pass for undoing most of the damage done by the second. This is a trilogy that floats on faint praise.,"| Original Score: C+
                
                |","May 27, 2007"
Kam Williams,EURWeb,"Who cares that this blockbuster is an incoherent, overplotted mess, when it comes stocked with a charismatic protagonist plus enough swashbuckling action and spooky special f/x to make you forget the fact that the story is impossible to keep straight?","| Original Score: 3/4
                
                |","May 27, 2007"
Garth Franklin,Dark Horizons,"The longest, darkest, most surreal and sadly weakest entry in the series. The second film, for all its problems, had more fun and energy","Full Review
                
                
                |","May 27, 2007"
John J. Puccio,Movie Metropolis,"...for all its silly goings-on, senseless violence, and perpetual, empty motion, one may still find a few pleasures.","| Original Score: 5/10
                
                |","May 25, 2007"
Brian Webster,Apollo Guide,The first five minutes make it clear this is not a film for little ones. The rest of its overlong 168 minutes manages to also eliminate almost everyone else.,"Full Review
                
                
                    | Original Score: 67/100
                
                |","May 25, 2007"
Michelle Alexandria,Eclipse Magazine,"I once stated that I'd rather gouge my eyes out than sit through another Pirates movie, I'm glad to say that my eyes are still intact and have never been clearer. The third times the charm.","| Original Score: A-
                
                |","May 25, 2007"
Tony Medley,tonymedley.com,"If it's true that if you put 1,000,000 monkeys at 1,000,000 typewriters, one will type out Hamlet, the script for this film is what the other 999,999 will produce.","| Original Score: 3/10
                
                |","May 25, 2007"
Brent Simon,FilmStew.com,"To those reviewers that don't like the latest Pirates, fans are likely to respond: 'You don't know Jack.'",|,"May 25, 2007"
Mark Dujsik,Mark Reviews Movies,"Gone are the clever, innovative action sequences, and practically gone is the tongue-in-cheek handling of the material.","| Original Score: 2/4
                
                |","May 25, 2007"
Mike McGranaghan,Aisle Seat,"It is debatable whether a movie can be ""blockbustered"" to death, but I advance this one as Exhibit A. Almost every frame of it feels manufactured to fit a preconceived - and inaccurate - notion of what a bigger, ""better"" sequel should be.","| Original Score: 1.5/4
                
                |","May 25, 2007"
Emily Blunt,Blunt Review,"Dear readers Bruckheimer pulled a Bruckheimer. I am a huge fan of his action packed plot-lite escape t the movies. But, in Pirates 3 the mega-producer took a diamond of a franchise and shattered it into sand.","| Original Score: 2/4
                
                |","May 25, 2007"
Ross Anthony,Hollywood Report Card,"Despite its length and failure to sell a love story, I mostly enjoyed this buoyant surreal adventure.","| Original Score: 2.5/4
                
                |","May 25, 2007"
Brian Tallerico,UGO,"At World's End is so insanely plot-heavy that it requires scene after scene of exposition, and the whole thing sinks simply under the weight of the story.","Full Review
                
                
                |","May 25, 2007"
Steve Crum,Video-Reviewmaster.com,"Depp's drugged-like Captain Jack persona wears goofy-thin, and the sword fight sequences clank on and on.","Full Review
                
                
                    | Original Score: D
                
                |","May 25, 2007"
Pete Hammond,Maxim,"With state-of-the-art everything, this is the 'Pirates' to top them all.","Full Review
                
                
                    | Original Score: 4/5
                
                |","May 25, 2007"
David Ansen,Newsweek,"The plot is not only hard to follow, there seems to be nothing real at stake. Half the characters are already dead, and half the movie seems to involve swordfights with dead people who can't be killed with swords.",|,"May 25, 2007"
Donald Munro,Fresno Bee,"A tedious, overwrought and bloated outing that up until the 100-minute mark makes you wish the movie theater had life boats.","Full Review
                
                
                    | Original Score: D
                
                |","May 25, 2007"
Shawn Levy,Oregonian,"The loudest, dumbest, slowest, least entertaining and most annoying [Pirates film] by a very comfortable margin.","Full Review
                
                
                    | Original Score: D+
                
                |","May 25, 2007"
Timothy Knight,Reel.com,"Alternately exciting and exhausting, Pirates of the Caribbean: At World's End may occasionally sail off course, but it never runs completely aground.","Full Review
                
                
                    | Original Score: 2.5/4
                
                |","May 25, 2007"
John Wirt,"Advocate (Baton Rouge, LA)","The film is slow in delivering its goods, but At World's End finally finds the mad fun and rousing action that fans expect.","| Original Score: 3/4
                
                |","May 25, 2007"
Jack Garner,Rochester Democrat and Chronicle,"It's beautifully shot, with lots of colorful characters, many astonishing special effects (though some approach a numbing quality), and much humor. The secret to enjoying the Pirate trilogy is to view them as operatic comedies.","| Original Score: 8/10
                
                |","May 25, 2007"
Richard Schickel,TIME Magazine,"Not so much thought out as strung together -- colorful incident upon colorful incident, but without logic, gathering suspense or any attempt to establish emotional connections between audience and actors.",|,"May 25, 2007"
Robert W. Butler,Kansas City Star,"Unfortunately, once in front of the camera Depp isn't given anything interesting or funny to do. So this fine actor is left to drag out the same shtick that once seemed refreshing -- three films and an Oscar nomination ago.","Full Review
                
                
                    | Original Score: 1.5/4
                
                |","May 25, 2007"
Rick Groen,Globe and Mail,"Depp descends into the shallows of self-parody, and the plot, keen to tie up every narrative loose end, manages to be simultaneously expansive and incomprehensible.","| Original Score: 1.5/4
                
                |","May 25, 2007"
Dezhda Gaubert,E! Online,"What floats the movie are Sparrow's grandiose gestures, his schoolyard bickering with Barbossa and the charmingly funny crew of the Black Pearl that provides trusty backup at every challenge.","| Original Score: B-
                
                |","May 25, 2007"
Jeff Vice,Deseret News (Salt Lake City),The film runs nearly three hours long and feels like it.,"| Original Score: 2.5/4
                
                |","May 25, 2007"
Robert Denerstein,Denver Rocky Mountain News,"Unconscionably long at 2 hours and 48 minutes, saddled with a plot that badly needed streamlining and running a bit low on humor, Pirates of the Caribbean: At World's End may not sink, but it certainly sometimes founders.","Full Review
                
                
                    | Original Score: C+
                
                |","May 25, 2007"
Mark Keizer,Boxoffice Magazine,"The tragedy is, the last two films are exactly what we feared the first one would be: corporate entertainment, heavy yet frivolous, trying to buy our love with bloated spectacle.","Full Review
                
                
                    | Original Score: 2.5/5
                
                |","May 25, 2007"
Richard Roeper,Chicago Sun-Times,"Worth seeing for the jaw-dropping action, the doses of irreverent humor and of course the star power of Depp, Knightley, Rush, Orlando Bloom, Bill Nighy, Chow Yun-Fat and a host of other talented actors who utter their lines with Shakespearean gusto.","Full Review
                
                
                    | Original Score: 3/4
                
                |","May 25, 2007"
Angela Baldassarre,Sympatico.ca,"Ho, ho, ho and my bum is very sore! I kept humming that to myself following nearly three hours of visual abuse. Overwhelmed by its bloated script, confusing plot and never-ending battle sequences, I admittedly was nevertheless awed by the special effects",|,"May 25, 2007"
Kevin A. Ranson,MovieCrypt.com,"... even with the film clocking in at just under three hours, too much still doesn't seem like enough.","| Original Score: 4.0/4.0
                
                |","May 25, 2007"
Nick Rogers,Midwest Film Journal,"Sprawling and as in need of Venn diagrams for every sextuple cross as it is, ""At World's End"" has subtleties amid its cattywampus craziness. It's also 2007's first blockbuster worth the constantly turned crank of big-budget moviemaking.","| Original Score: 3/4
                
                |","May 25, 2007"
Kurt Loder,MTV,The movie is thronged with characters new and old -- so many that none of them has room to shine; and the plot has spun completely out of control.,"| Original Score: 2/5
                
                |","May 25, 2007"
Betty Jo Tucker,ReelTalk Movie Reviews,"Incredible special effects and astonishing set pieces fill the screen in 'At World's End,' but it's Captain Jack Sparrow who steals the show again.",|,"May 25, 2007"
Pete Vonder Haar,Film Threat,"After watching Pirates of the Caribbean: At World's End, I may have jumped the gun in complaining about too many action sequences in Dead Man's Chest.","| Original Score: 3/5
                
                |","May 25, 2007"
Kevin Carr,Film School Rejects,I am anxious to see it again - and this is not a common thing for me and movies that run close to three hours.,"| Original Score: 3.5/5
                
                |","May 25, 2007"
Eric Melin,Scene-Stealers.com,"If number two was a scorned middle child fighting for attention, then Pirates 3 is a perpetual motion machine; not just because it is on autopilot, but also because it seems like it will never end.","| Original Score: 1/4
                
                |","May 25, 2007"
Steven D. Greydanus,Decent Films,"If Dead Man’s Chest was inspiration gone amok, At World’s End is more — much, much, much more — of the same, only without the inspiration.","| Original Score: C+
                
                |","May 25, 2007"
Pablo Villaça,Cinema em Cena,Suficientemente divertido e absolutamente irrepreensível em suas ótimas seqüências de ação.,"Full Review
                
                
                    | Original Score: 4/5
                
                |","May 25, 2007"
David N. Butterworth,rec.arts.movies.reviews,"Three's supposed to be a charm but you won't find much of that in Gore Verbinski's continuation of his silly, spectacular swashbuckling saga","| Original Score: 2/4
                
                |","May 25, 2007"
Dave White,Movies.com,"As far as meaningless summer entertainments go, it does exactly what you want it to.","| Original Score: B
                
                |","May 25, 2007"
Coco Forsythe,Future Movies UK,"If you can make sense of it, you're a smarter person than I am.","| Original Score: 5/10
                
                |","May 25, 2007"
Daniel M. Kimmel,Worcester Telegram & Gazette,...it's hard to remember a recent film with a cast this strong that utterly wasted them.,"Full Review
                
                
                    | Original Score: 2/4
                
                |","May 24, 2007"
Walter Chaw,Film Freak Central,And so it goes.,"Full Review
                
                
                    | Original Score: 2/4
                
                |","May 24, 2007"
Jeffrey M. Anderson,Combustible Celluloid,"By the end I was not annoyed, and I did not feel gypped.","| Original Score: 3/4
                
                |","May 24, 2007"
Linda Cook,"Quad City Times (Davenport, IA)","Loaded with more blubber than laughs, ""Pirates of the Caribbean: At World's End"" is a-vastly too long.","Full Review
                
                
                    | Original Score: 2.5/4
                
                |","May 24, 2007"
Sean P. Means,Salt Lake Tribune,"By the final chaotic battle, the overwhelming feeling [the movie] generates is relief that the whole enterprise is over.","Full Review
                
                
                    | Original Score: 2.5/4
                
                |","May 24, 2007"
David Cornelius,eFilmCritic.com,"At World's End is too long, too confusing, too cluttered, too much. It's also great cinema.","| Original Score: 5/5
                
                |","May 24, 2007"
Stephanie Zacharek,Salon.com,"A glazed, inhuman, cluttered piece of work, a storytelling mishmash that buries the considerable charms of its actors under heavy drifts of silt.","Full Review
                
                
                |","May 24, 2007"
Bill Clark,FromTheBalcony,"After the credits rolled I felt like entering the theater lobby and doing my best impression of Leslie Nielsen in The Naked Gun, as the fireworks store blows up in the background: 'Please disperse, there's nothing to see here!'","| Original Score: C-
                
                |","May 24, 2007"
Chris Hewitt,St. Paul Pioneer Press,World's End lacks the lugubrious quality of many big-budget blockbusters because director Gore Verbinski gives it a lightness of spirit and because the actors time their sly jokes so expertly.,"Full Review
                
                
                    | Original Score: 3/4
                
                |","May 24, 2007"
Joe Morgenstern,Wall Street Journal,"A ponderous pirate saga, 168 minutes long, with more doldrums than 'The Rime of the Ancient Mariner.'",|,"May 24, 2007"
Ethan Alter,Premiere Magazine,"It's not so much that the story is hard to follow -- it's that there's no real story being told at all. At World's End is packed with incident, but on a scene-to-scene level this leaky vessel just barely stays afloat.","Full Review
                
                
                    | Original Score: 2/5
                
                |","May 24, 2007"
Rene Rodriguez,Miami Herald,"The longest and talkiest installment in the blockbuster Pirates trilogy, At World's End doesn't even have the decency to provide a good action sequence until more than two hours in.","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 24, 2007"
Dana Stevens,Slate,"Adrift in the windless seas of its 168-minute running time, the viewer passes through confusion and boredom into a state of Buddhist passivity.",|,"May 24, 2007"
Peter Rainer,Christian Science Monitor,"In order to tie up all the loose plot lines from the first two films, Verbinski and screenwriters Ted Elliott and Terry Rossio throw so much story at us that the nonstop action becomes deadening.","| Original Score: B-
                
                |","May 24, 2007"
Larry Ratliff,San Antonio Express-News,"(Gore)Verbinski and (Johnny)Depp, saving the best for a stupendous effects-enhanced final (don't count on it) battle, really dock this franchise with a flourish.","Full Review
                
                
                    | Original Score: 3/4
                
                |","May 24, 2007"
Nell Minow,Movie Mom,"So many plots, so many battles, so many tonal shifts, so many characters, and ultimately so many Captain Jack Sparrows that it is clear they are hoping we won't notice that it really is something of a mess. It's a very entertaining mess, though.","Full Review
                
                
                    | Original Score: B
                
                |","May 24, 2007"
Sean McBride,Sean the Movie Guy,this cinematic ship is so over-stuffed with characters and intricate plotlines that it's starting to take on a bit of water.,"Full Review
                
                
                    | Original Score: 2.5/4
                
                |","May 24, 2007"
Eric D. Snider,EricDSnider.com,"For the first time, I can see why many people love this series.","| Original Score: B
                
                |","May 24, 2007"
Luke Y. Thompson,New Times,"...some of the most subversive cinematic experimentation you're likely to see in a ""tentpole franchise"" epic in this or any year.","Full Review
                
                
                |","May 24, 2007"
Todd Gilchrist,IGN Movies,"As an integral part of movie history, the only legacy that Pirates seems poised to leave is the distinction of it being the first major series about seafaring swashbucklers to succeed financially.","| Original Score: 3.5/5
                
                |","May 24, 2007"
Stephen Hunter,Washington Post,"Funner, biggerer, brighterer, bolderer, Pirates of the Caribbean: At World's End is not only okay, it may even be close to good.",|,"May 24, 2007"
Claudia Puig,USA Today,"One longs for more scenes featuring Captain Jack Sparrow in Pirates of the Caribbean: At World's End and less of everything else in this bloated, overwrought and convoluted three-hour misfire.","Full Review
                
                
                    | Original Score: 1.5/4
                
                |","May 24, 2007"
Maitland McDonagh,TV Guide,"Minute-per-dollar, you get your money's worth, but an hour after you leave you'd be hard put to summarize the plot in any coherent way. If that's entertainment, then step right up!","| Original Score: 2.5/4
                
                |","May 24, 2007"
Rob Salem,Toronto Star,"Relentlessly dense and unfathomable; Depp, the heart and soul of the series, doesn't even show up till several reels in.","| Original Score: 2/4
                
                |","May 24, 2007"
Moira MacDonald,Seattle Times,"This film is less comedic and more sweeping than the first two, and Depp often seems to be strolling the borders of the film, commenting on it.","| Original Score: 2/4
                
                |","May 24, 2007"
William Arnold,Seattle Post-Intelligencer,"An even more tedious storytelling mess, with a plot so muddled it's impossible to accurately describe, generating zero interest in its characters and grinding on for nearly three endless hours. The critics will hate it.","| Original Score: C+
                
                |","May 24, 2007"
Bruce Newman,San Jose Mercury News,"[Erupts] into a grand and glorious adventure at the final hour. After lying dead in the water during much of its three-part odyssey, Pirates of the Caribbean has saved the best for last. The third time is the charmer.","| Original Score: 3.5/4
                
                |","May 24, 2007"
